Customer Number,Applied Loan Amount in Lacs,Month,Fin Year,Month Year,Sanction Amt in Lacs,Disb Amt in Lacs,SDF Branch
2937,9,7,2017,#N/A,7.2,6.62,Shillong
2938,24,6,2018,#N/A,22.8,20.98,Ranchi
2939,12,2,2018,#N/A,9.6,8.83,Aurangabad
2940,8,9,2018,#N/A,7.6,6.99,Nasik
2941,7,1,2019,#N/A,5.6,5.15,Pune
2942,18,6,2018,#N/A,17.1,15.73,Delhi
2943,6,10,2019,#N/A,5.7,5.24,Chandigarh
2944,6,6,2018,#N/A,4.8,4.42,Ranchi
2945,11,8,2018,#N/A,8.8,8.10,Chennai
2946,10,10,2017,#N/A,8,7.36,Nasik
2947,9,6,2017,#N/A,7.2,6.62,Gandhinagar
2948,24,1,2017,#N/A,22.8,20.98,Ranchi
2949,11,1,2018,#N/A,8.8,8.10,Chennai
2950,8,8,2018,#N/A,7.6,6.99,Mumbai
2951,5,2,2017,#N/A,4,3.68,Bhopal
2952,5,11,2019,#N/A,4,3.68,Ranchi
2953,12,12,2018,#N/A,9.6,8.83,Srinagar
2954,18,11,2019,#N/A,17.1,15.73,Nagpur
2955,2,8,2017,#N/A,1.6,1.47,Bhopal
2956,6,7,2018,#N/A,5.7,5.24,Chandigarh
2957,6,10,2017,#N/A,4.8,4.42,Chennai
2958,9,2,2017,#N/A,7.2,6.62,Chandigarh
2959,7,5,2017,#N/A,5.6,5.15,Delhi
2960,12,12,2019,#N/A,11.4,10.49,Bhopal
2961,6,3,2018,#N/A,5.7,5.24,Bhopal
2962,6,9,2018,#N/A,4.8,4.42,Gandhinagar
2963,2,4,2017,#N/A,1.9,1.75,Srinagar
2964,12,7,2017,#N/A,11.4,10.49,Ranchi
2965,22,9,2019,#N/A,20.9,19.23,Mumbai
2966,2,1,2018,#N/A,1.6,1.47,Nasik
2967,10,3,2018,#N/A,9.5,8.74,Nagpur
2968,11,11,2018,#N/A,8.8,8.10,Bengaluru
2969,24,1,2017,#N/A,22.8,20.98,Gandhinagar
2970,18,2,2018,#N/A,17.1,15.73,Bhopal
2971,22,7,2018,#N/A,17.6,16.19,Jaipur
2972,6,6,2018,#N/A,4.8,4.42,Chennai
2973,16,10,2017,#N/A,15.2,13.98,Gandhinagar
2974,7,4,2017,#N/A,5.6,5.15,Mumbai
2975,6,6,2018,#N/A,5.7,5.24,Aurangabad
2976,12,9,2017,#N/A,11.4,10.49,Bhopal
2977,6,2,2018,#N/A,4.8,4.42,Delhi
2978,14,3,2017,#N/A,13.3,12.24,Gandhinagar
2979,16,2,2017,#N/A,15.2,13.98,Nasik
2980,16,11,2018,#N/A,12.8,11.78,Nagpur
2981,2,5,2017,#N/A,1.6,1.47,Nagpur
2982,8,7,2019,#N/A,6.4,5.89,Mumbai
2983,2,5,2018,#N/A,1.6,1.47,Delhi
2984,10,3,2019,#N/A,9.5,8.74,Aurangabad
2985,6,5,2017,#N/A,5.7,5.24,Nasik
2986,16,10,2017,#N/A,12.8,11.78,Srinagar
2987,12,3,2018,#N/A,9.6,8.83,Delhi
2988,6,3,2018,#N/A,4.8,4.42,Nagpur
2989,12,3,2017,#N/A,9.6,8.83,Nasik
2990,10,8,2019,#N/A,8,7.36,Aurangabad
2991,24,7,2017,#N/A,22.8,20.98,Delhi
2992,2,9,2017,#N/A,1.6,1.47,Chennai
2993,7,5,2018,#N/A,5.6,5.15,Pune
2994,4,11,2017,#N/A,3.2,2.94,Shillong
2995,12,1,2018,#N/A,9.6,8.83,Ranchi
2996,12,9,2018,#N/A,9.6,8.83,Mumbai
2997,10,2,2018,#N/A,8,7.36,Chandigarh
2998,4,4,2018,#N/A,3.2,2.94,Bengaluru
2999,10,1,2017,#N/A,8,7.36,Ranchi
3000,24,6,2018,#N/A,22.8,20.98,Bhopal
3001,9,7,2017,#N/A,7.2,6.62,Nagpur
3002,24,7,2018,#N/A,19.2,17.66,Nagpur
3003,1,4,2019,#N/A,0.8,0.74,Chennai
3004,11,1,2017,#N/A,8.8,8.10,Gandhinagar
3005,2,8,2017,#N/A,1.9,1.75,Mumbai
3006,6,11,2017,#N/A,5.7,5.24,Nagpur
3007,10,9,2019,#N/A,8,7.36,Nagpur
3008,2,1,2017,#N/A,1.6,1.47,Delhi
3009,11,5,2018,#N/A,8.8,8.10,Chandigarh
3010,10,1,2017,#N/A,8,7.36,Pune
3011,18,1,2018,#N/A,17.1,15.73,Chandigarh
3012,18,4,2018,#N/A,17.1,15.73,Delhi
3013,6,10,2019,#N/A,4.8,4.42,Mumbai
3014,7,2,2017,#N/A,5.6,5.15,Bengaluru
3015,5,10,2017,#N/A,4,3.68,Nagpur
3016,20,11,2017,#N/A,19,17.48,Nasik
3017,8,1,2018,#N/A,7.6,6.99,Aurangabad
3018,10,11,2017,#N/A,8,7.36,Srinagar
3019,2,8,2017,#N/A,1.9,1.75,Chennai
3020,8,7,2019,#N/A,7.6,6.99,Nasik
3021,18,2,2019,#N/A,17.1,15.73,Nasik
3022,3,10,2019,#N/A,2.4,2.21,Nasik
3023,18,7,2018,#N/A,14.4,13.25,Bhopal
3024,2,4,2018,#N/A,1.6,1.47,Mumbai
3025,4,9,2018,#N/A,3.2,2.94,Bhopal
3026,7,2,2019,#N/A,5.6,5.15,Pune
3027,12,9,2019,#N/A,9.6,8.83,Chennai
3028,6,8,2017,#N/A,5.7,5.24,Srinagar
3029,24,1,2019,#N/A,22.8,20.98,Pune
3030,9,5,2019,#N/A,7.2,6.62,Ranchi
3031,12,3,2018,#N/A,11.4,10.49,Jaipur
3032,2,12,2018,#N/A,1.6,1.47,Chennai
3033,6,7,2019,#N/A,5.7,5.24,Jaipur
3034,5,11,2017,#N/A,4,3.68,Jaipur
3035,6,6,2019,#N/A,5.7,5.24,Gandhinagar
3036,12,7,2018,#N/A,9.6,8.83,Chandigarh
3037,8,4,2019,#N/A,6.4,5.89,Bengaluru
3038,12,7,2019,#N/A,9.6,8.83,Nagpur
3039,8,7,2018,#N/A,6.4,5.89,Pune
3040,14,7,2019,#N/A,13.3,12.24,Mumbai
3041,12,2,2017,#N/A,11.4,10.49,Nasik
3042,12,12,2019,#N/A,9.6,8.83,Pune
3043,14,11,2019,#N/A,13.3,12.24,Jaipur
3044,8,3,2017,#N/A,6.4,5.89,Aurangabad
3045,3,6,2017,#N/A,2.4,2.21,Chennai
3046,10,5,2019,#N/A,8,7.36,Delhi
3047,12,8,2017,#N/A,9.6,8.83,Bhopal
3048,2,6,2017,#N/A,1.6,1.47,Shillong
3049,12,10,2017,#N/A,11.4,10.49,Gandhinagar
3050,5,9,2017,#N/A,4,3.68,Gandhinagar
3051,12,4,2019,#N/A,9.6,8.83,Chandigarh
3052,24,10,2019,#N/A,19.2,17.66,Mumbai
3053,11,12,2018,#N/A,8.8,8.10,Mumbai
3054,4,10,2018,#N/A,3.8,3.50,Jaipur
3055,16,6,2018,#N/A,15.2,13.98,Mumbai
3056,8,3,2017,#N/A,6.4,5.89,Chandigarh
3057,5,6,2019,#N/A,4,3.68,Pune
3058,8,6,2018,#N/A,7.6,6.99,Srinagar
3059,2,8,2017,#N/A,1.6,1.47,Bengaluru
3060,1,1,2019,#N/A,0.8,0.74,Nasik
3061,2,6,2017,#N/A,1.9,1.75,Aurangabad
3062,12,12,2018,#N/A,9.6,8.83,Srinagar
3063,1,3,2017,#N/A,0.8,0.74,Pune
3064,18,9,2018,#N/A,17.1,15.73,Mumbai
3065,2,8,2018,#N/A,1.6,1.47,Chandigarh
3066,4,8,2017,#N/A,3.2,2.94,Mumbai
3067,22,8,2019,#N/A,17.6,16.19,Chennai
3068,20,9,2019,#N/A,19,17.48,Ranchi
3069,1,9,2019,#N/A,0.8,0.74,Pune
3070,2,7,2017,#N/A,1.6,1.47,Pune
3071,3,10,2018,#N/A,2.4,2.21,Bengaluru
3072,3,6,2017,#N/A,2.4,2.21,Bhopal
3073,10,6,2017,#N/A,8,7.36,Ranchi
3074,4,2,2017,#N/A,3.2,2.94,Chennai
3075,12,1,2017,#N/A,11.4,10.49,Bengaluru
3076,5,12,2019,#N/A,4,3.68,Bhopal
3077,4,11,2018,#N/A,3.8,3.50,Bengaluru
3078,7,10,2019,#N/A,5.6,5.15,Ranchi
3079,2,4,2018,#N/A,1.6,1.47,Mumbai
3080,5,5,2017,#N/A,4,3.68,Mumbai
3081,22,5,2019,#N/A,20.9,19.23,Gandhinagar
3082,3,5,2017,#N/A,2.4,2.21,Chennai
3083,8,10,2017,#N/A,6.4,5.89,Ranchi
3084,20,12,2017,#N/A,19,17.48,Jaipur
3085,1,4,2018,#N/A,0.8,0.74,Nasik
3086,12,3,2019,#N/A,9.6,8.83,Mumbai
3087,11,12,2017,#N/A,8.8,8.10,Aurangabad
3088,3,6,2017,#N/A,2.4,2.21,Aurangabad
3089,9,3,2017,#N/A,7.2,6.62,Ranchi
3090,20,7,2018,#N/A,19,17.48,Mumbai
3091,22,1,2019,#N/A,17.6,16.19,Delhi
3092,8,7,2019,#N/A,7.6,6.99,Nagpur
3093,22,3,2018,#N/A,17.6,16.19,Srinagar
3094,8,9,2017,#N/A,6.4,5.89,Srinagar
3095,18,10,2017,#N/A,17.1,15.73,Bhopal
3096,14,9,2019,#N/A,13.3,12.24,Nasik
3097,18,1,2017,#N/A,17.1,15.73,Chennai
3098,2,7,2017,#N/A,1.6,1.47,Chandigarh
3099,6,6,2019,#N/A,5.7,5.24,Delhi
3100,6,10,2018,#N/A,4.8,4.42,Nasik
3101,8,2,2019,#N/A,6.4,5.89,Ranchi
3102,22,4,2018,#N/A,20.9,19.23,Chandigarh
3103,12,7,2018,#N/A,9.6,8.83,Aurangabad
3104,7,10,2019,#N/A,5.6,5.15,Ranchi
3105,4,10,2017,#N/A,3.8,3.50,Bhopal
3106,20,11,2018,#N/A,16,14.72,Gandhinagar
3107,18,2,2017,#N/A,14.4,13.25,Bhopal
3108,12,7,2019,#N/A,9.6,8.83,Bengaluru
3109,14,11,2019,#N/A,13.3,12.24,Pune
3110,1,5,2017,#N/A,0.8,0.74,Srinagar
3111,12,3,2019,#N/A,11.4,10.49,Jaipur
3112,1,11,2018,#N/A,0.8,0.74,Pune
3113,4,2,2019,#N/A,3.2,2.94,Jaipur
3114,8,6,2019,#N/A,6.4,5.89,Pune
3115,3,12,2017,#N/A,2.4,2.21,Bhopal
3116,22,5,2017,#N/A,17.6,16.19,Aurangabad
3117,1,10,2017,#N/A,0.8,0.74,Bengaluru
3118,22,5,2019,#N/A,17.6,16.19,Aurangabad
3119,2,8,2017,#N/A,1.6,1.47,Chennai
3120,12,2,2018,#N/A,9.6,8.83,Ranchi
3121,2,1,2019,#N/A,1.6,1.47,Nagpur
3122,4,8,2019,#N/A,3.8,3.50,Nagpur
3123,9,7,2017,#N/A,7.2,6.62,Aurangabad
3124,8,6,2017,#N/A,7.6,6.99,Ranchi
3125,10,6,2017,#N/A,8,7.36,Ranchi
3126,5,8,2018,#N/A,4,3.68,Nagpur
3127,10,2,2018,#N/A,8,7.36,Nasik
3128,2,5,2018,#N/A,1.6,1.47,Mumbai
3129,10,3,2018,#N/A,8,7.36,Chandigarh
3130,9,6,2018,#N/A,7.2,6.62,Bengaluru
3131,8,7,2017,#N/A,7.6,6.99,Shillong
3132,4,9,2019,#N/A,3.2,2.94,Ranchi
3133,8,12,2017,#N/A,6.4,5.89,Bengaluru
3134,14,4,2017,#N/A,13.3,12.24,Pune
3135,24,10,2017,#N/A,22.8,20.98,Srinagar
3136,22,7,2018,#N/A,20.9,19.23,Ranchi
3137,4,3,2019,#N/A,3.8,3.50,Mumbai
3138,20,8,2018,#N/A,19,17.48,Chandigarh
3139,3,4,2017,#N/A,2.4,2.21,Aurangabad
3140,9,6,2019,#N/A,7.2,6.62,Bhopal
3141,11,1,2017,#N/A,8.8,8.10,Nasik
3142,16,6,2018,#N/A,15.2,13.98,Mumbai
3143,6,10,2019,#N/A,4.8,4.42,Aurangabad
3144,3,10,2019,#N/A,2.4,2.21,Bengaluru
3145,4,11,2018,#N/A,3.2,2.94,Aurangabad
3146,6,4,2019,#N/A,4.8,4.42,Jaipur
3147,7,3,2018,#N/A,5.6,5.15,Bengaluru
3148,4,4,2019,#N/A,3.8,3.50,Delhi
3149,6,11,2019,#N/A,5.7,5.24,Pune
3150,8,4,2018,#N/A,7.6,6.99,Shillong
3151,8,8,2019,#N/A,7.6,6.99,Pune
3152,24,5,2017,#N/A,19.2,17.66,Nasik
3153,12,12,2019,#N/A,11.4,10.49,Ranchi
3154,3,6,2018,#N/A,2.4,2.21,Jaipur
3155,9,7,2019,#N/A,7.2,6.62,Jaipur
3156,10,1,2018,#N/A,9.5,8.74,Nagpur
3157,4,5,2017,#N/A,3.8,3.50,Nasik
3158,8,10,2017,#N/A,6.4,5.89,Bhopal
3159,8,2,2018,#N/A,6.4,5.89,Srinagar
3160,11,7,2017,#N/A,8.8,8.10,Mumbai
3161,2,2,2017,#N/A,1.6,1.47,Chennai
3162,11,10,2018,#N/A,8.8,8.10,Chandigarh
3163,18,5,2018,#N/A,17.1,15.73,Gandhinagar
3164,16,8,2018,#N/A,12.8,11.78,Nagpur
3165,10,2,2018,#N/A,8,7.36,Srinagar
3166,6,7,2017,#N/A,5.7,5.24,Pune
3167,9,7,2018,#N/A,7.2,6.62,Aurangabad
3168,8,10,2018,#N/A,7.6,6.99,Delhi
3169,2,11,2018,#N/A,1.6,1.47,Chennai
3170,20,3,2018,#N/A,19,17.48,Delhi
3171,18,2,2018,#N/A,17.1,15.73,Gandhinagar
3172,11,3,2018,#N/A,8.8,8.10,Gandhinagar
3173,9,5,2017,#N/A,7.2,6.62,Chennai
3174,24,7,2019,#N/A,22.8,20.98,Bhopal
3175,12,12,2017,#N/A,11.4,10.49,Ranchi
3176,4,3,2018,#N/A,3.8,3.50,Bhopal
3177,20,4,2018,#N/A,19,17.48,Bengaluru
3178,12,12,2019,#N/A,11.4,10.49,Chandigarh
3179,14,1,2018,#N/A,13.3,12.24,Chennai
3180,9,7,2019,#N/A,7.2,6.62,Gandhinagar
3181,8,1,2018,#N/A,7.6,6.99,Bengaluru
3182,2,11,2017,#N/A,1.9,1.75,Nagpur
3183,8,9,2018,#N/A,7.6,6.99,Chandigarh
3184,12,2,2018,#N/A,9.6,8.83,Bhopal
3185,6,8,2017,#N/A,4.8,4.42,Srinagar
3186,24,6,2019,#N/A,22.8,20.98,Bengaluru
3187,7,9,2018,#N/A,5.6,5.15,Shillong
3188,4,8,2018,#N/A,3.2,2.94,Gandhinagar
3189,10,12,2018,#N/A,8,7.36,Nasik
3190,14,12,2018,#N/A,13.3,12.24,Chennai
3191,5,8,2019,#N/A,4,3.68,Aurangabad
3192,10,5,2019,#N/A,8,7.36,Chennai
3193,2,5,2018,#N/A,1.6,1.47,Aurangabad
3194,10,5,2019,#N/A,8,7.36,Nagpur
3195,10,8,2019,#N/A,9.5,8.74,Bengaluru
3196,6,11,2019,#N/A,5.7,5.24,Srinagar
3197,12,4,2018,#N/A,9.6,8.83,Pune
3198,3,4,2018,#N/A,2.4,2.21,Srinagar
3199,16,12,2017,#N/A,12.8,11.78,Jaipur
3200,2,9,2019,#N/A,1.9,1.75,Shillong
3201,14,5,2017,#N/A,13.3,12.24,Bhopal
3202,16,7,2018,#N/A,15.2,13.98,Delhi
3203,2,4,2017,#N/A,1.6,1.47,Nagpur
3204,4,10,2019,#N/A,3.8,3.50,Bhopal
3205,8,11,2019,#N/A,7.6,6.99,Pune
3206,22,2,2019,#N/A,17.6,16.19,Gandhinagar
3207,20,1,2018,#N/A,16,14.72,Gandhinagar
3208,22,4,2018,#N/A,20.9,19.23,Chandigarh
3209,10,10,2019,#N/A,8,7.36,Mumbai
3210,4,11,2017,#N/A,3.2,2.94,Chennai
3211,6,8,2017,#N/A,5.7,5.24,Bhopal
3212,10,4,2019,#N/A,8,7.36,Delhi
3213,7,11,2018,#N/A,5.6,5.15,Bhopal
3214,11,12,2017,#N/A,8.8,8.10,Jaipur
3215,10,11,2019,#N/A,8,7.36,Nagpur
3216,24,6,2017,#N/A,22.8,20.98,Chandigarh
3217,14,9,2018,#N/A,13.3,12.24,Pune
3218,12,3,2019,#N/A,11.4,10.49,Aurangabad
3219,16,11,2018,#N/A,15.2,13.98,Chandigarh
3220,12,3,2017,#N/A,9.6,8.83,Delhi
3221,24,10,2018,#N/A,22.8,20.98,Srinagar
3222,4,4,2017,#N/A,3.2,2.94,Srinagar
3223,16,2,2019,#N/A,15.2,13.98,Jaipur
3224,22,3,2018,#N/A,20.9,19.23,Nasik
3225,3,2,2019,#N/A,2.4,2.21,Aurangabad
3226,7,12,2018,#N/A,5.6,5.15,Nagpur
3227,6,5,2017,#N/A,4.8,4.42,Chandigarh
3228,11,12,2019,#N/A,8.8,8.10,Delhi
3229,20,9,2017,#N/A,19,17.48,Gandhinagar
3230,3,6,2019,#N/A,2.4,2.21,Delhi
3231,14,5,2019,#N/A,13.3,12.24,Nasik
3232,22,4,2017,#N/A,20.9,19.23,Gandhinagar
3233,12,2,2017,#N/A,11.4,10.49,Chennai
3234,20,3,2017,#N/A,16,14.72,Chandigarh
3235,8,11,2019,#N/A,6.4,5.89,Ranchi
3236,16,7,2017,#N/A,15.2,13.98,Gandhinagar
3237,12,9,2018,#N/A,9.6,8.83,Gandhinagar
3238,9,7,2019,#N/A,7.2,6.62,Chandigarh
3239,24,6,2017,#N/A,22.8,20.98,Shillong
3240,16,12,2018,#N/A,12.8,11.78,Shillong
3241,24,10,2017,#N/A,19.2,17.66,Chandigarh
3242,3,2,2017,#N/A,2.4,2.21,Shillong
3243,20,7,2017,#N/A,19,17.48,Chennai
3244,6,8,2019,#N/A,4.8,4.42,Nasik
3245,2,7,2019,#N/A,1.6,1.47,Bhopal
3246,2,4,2018,#N/A,1.6,1.47,Gandhinagar
3247,8,4,2019,#N/A,6.4,5.89,Delhi
3248,8,1,2019,#N/A,6.4,5.89,Bengaluru
3249,8,7,2019,#N/A,7.6,6.99,Jaipur
3250,6,7,2019,#N/A,4.8,4.42,Delhi
3251,5,9,2018,#N/A,4,3.68,Mumbai
3252,7,7,2019,#N/A,5.6,5.15,Chennai
3253,9,1,2017,#N/A,7.2,6.62,Chandigarh
3254,12,7,2019,#N/A,11.4,10.49,Ranchi
3255,8,1,2019,#N/A,7.6,6.99,Chandigarh
3256,6,12,2018,#N/A,5.7,5.24,Nagpur
3257,8,6,2018,#N/A,7.6,6.99,Chennai
3258,12,1,2017,#N/A,9.6,8.83,Nasik
3259,8,8,2018,#N/A,7.6,6.99,Ranchi
3260,11,11,2017,#N/A,8.8,8.10,Srinagar
3261,18,7,2017,#N/A,17.1,15.73,Chandigarh
3262,2,5,2019,#N/A,1.6,1.47,Bengaluru
3263,8,5,2017,#N/A,6.4,5.89,Pune
3264,7,10,2018,#N/A,5.6,5.15,Delhi
3265,8,1,2018,#N/A,7.6,6.99,Mumbai
3266,9,6,2017,#N/A,7.2,6.62,Bhopal
3267,1,8,2019,#N/A,0.8,0.74,Shillong
3268,16,6,2019,#N/A,15.2,13.98,Jaipur
3269,3,11,2018,#N/A,2.4,2.21,Shillong
3270,5,5,2018,#N/A,4,3.68,Nagpur
3271,8,6,2017,#N/A,6.4,5.89,Chennai
3272,22,10,2017,#N/A,20.9,19.23,Delhi
3273,10,4,2018,#N/A,8,7.36,Mumbai
3274,1,11,2018,#N/A,0.8,0.74,Chennai
3275,14,10,2017,#N/A,11.2,10.30,Pune
3276,5,8,2017,#N/A,4,3.68,Jaipur
3277,14,4,2017,#N/A,13.3,12.24,Gandhinagar
3278,8,1,2017,#N/A,6.4,5.89,Gandhinagar
3279,3,5,2019,#N/A,2.4,2.21,Delhi
3280,4,7,2019,#N/A,3.2,2.94,Bhopal
3281,4,7,2019,#N/A,3.2,2.94,Shillong
3282,6,7,2018,#N/A,4.8,4.42,Pune
3283,10,6,2019,#N/A,8,7.36,Srinagar
3284,24,6,2017,#N/A,22.8,20.98,Ranchi
3285,2,5,2019,#N/A,1.9,1.75,Chandigarh
3286,8,3,2017,#N/A,6.4,5.89,Bhopal
3287,8,10,2018,#N/A,6.4,5.89,Bhopal
3288,6,10,2017,#N/A,4.8,4.42,Aurangabad
3289,14,2,2018,#N/A,11.2,10.30,Chandigarh
3290,6,5,2018,#N/A,5.7,5.24,Shillong
3291,1,11,2017,#N/A,0.8,0.74,Gandhinagar
3292,2,11,2018,#N/A,1.6,1.47,Pune
3293,22,12,2017,#N/A,20.9,19.23,Aurangabad
3294,16,2,2018,#N/A,12.8,11.78,Nasik
3295,9,6,2017,#N/A,7.2,6.62,Gandhinagar
3296,3,12,2019,#N/A,2.4,2.21,Jaipur
3297,20,2,2017,#N/A,19,17.48,Delhi
3298,2,4,2018,#N/A,1.6,1.47,Bengaluru
3299,14,10,2017,#N/A,13.3,12.24,Chandigarh
3300,10,10,2019,#N/A,8,7.36,Pune
3301,3,6,2019,#N/A,2.4,2.21,Jaipur
3302,10,8,2019,#N/A,9.5,8.74,Chandigarh
3303,16,9,2019,#N/A,12.8,11.78,Gandhinagar
3304,10,10,2019,#N/A,8,7.36,Shillong
3305,4,7,2017,#N/A,3.2,2.94,Pune
3306,20,12,2018,#N/A,19,17.48,Chennai
3307,11,10,2019,#N/A,8.8,8.10,Delhi
3308,24,9,2018,#N/A,19.2,17.66,Nagpur
3309,8,1,2017,#N/A,6.4,5.89,Jaipur
3310,4,11,2019,#N/A,3.2,2.94,Ranchi
3311,4,8,2017,#N/A,3.8,3.50,Chandigarh
3312,11,11,2019,#N/A,8.8,8.10,Ranchi
3313,18,11,2017,#N/A,14.4,13.25,Jaipur
3314,8,9,2018,#N/A,6.4,5.89,Ranchi
3315,20,6,2017,#N/A,16,14.72,Aurangabad
3316,12,12,2018,#N/A,9.6,8.83,Ranchi
3317,6,1,2019,#N/A,4.8,4.42,Chandigarh
3318,10,11,2019,#N/A,9.5,8.74,Chennai
3319,8,2,2019,#N/A,7.6,6.99,Chennai
3320,24,1,2017,#N/A,22.8,20.98,Chennai
3321,6,11,2018,#N/A,4.8,4.42,Delhi
3322,9,1,2019,#N/A,7.2,6.62,Nagpur
3323,5,12,2019,#N/A,4,3.68,Shillong
3324,10,1,2018,#N/A,8,7.36,Bengaluru
3325,6,10,2017,#N/A,5.7,5.24,Delhi
3326,6,7,2017,#N/A,4.8,4.42,Bengaluru
3327,3,5,2018,#N/A,2.4,2.21,Mumbai
3328,10,9,2019,#N/A,8,7.36,Nagpur
3329,3,1,2019,#N/A,2.4,2.21,Srinagar
3330,14,2,2019,#N/A,13.3,12.24,Srinagar
3331,2,2,2019,#N/A,1.6,1.47,Bengaluru
3332,10,12,2019,#N/A,8,7.36,Bengaluru
3333,6,1,2018,#N/A,4.8,4.42,Chennai
3334,10,9,2017,#N/A,8,7.36,Ranchi
3335,8,1,2018,#N/A,7.6,6.99,Pune
3336,24,10,2018,#N/A,22.8,20.98,Shillong
3337,9,11,2017,#N/A,7.2,6.62,Mumbai
3338,6,12,2019,#N/A,4.8,4.42,Srinagar
3339,10,7,2017,#N/A,9.5,8.74,Chandigarh
3340,8,3,2018,#N/A,7.6,6.99,Bengaluru
3341,2,6,2019,#N/A,1.6,1.47,Gandhinagar
3342,4,7,2017,#N/A,3.8,3.50,Gandhinagar
3343,2,4,2018,#N/A,1.6,1.47,Nasik
3344,10,11,2018,#N/A,8,7.36,Bengaluru
3345,8,5,2018,#N/A,7.6,6.99,Shillong
3346,10,1,2018,#N/A,8,7.36,Nasik
3347,16,12,2019,#N/A,12.8,11.78,Ranchi
3348,1,2,2017,#N/A,0.8,0.74,Nagpur
3349,16,9,2018,#N/A,15.2,13.98,Nagpur
3350,22,5,2019,#N/A,17.6,16.19,Gandhinagar
3351,18,8,2019,#N/A,17.1,15.73,Mumbai
3352,2,5,2019,#N/A,1.6,1.47,Mumbai
3353,18,2,2019,#N/A,17.1,15.73,Shillong
3354,6,2,2019,#N/A,4.8,4.42,Nagpur
3355,20,2,2018,#N/A,16,14.72,Delhi
3356,6,10,2018,#N/A,5.7,5.24,Pune
3357,12,8,2017,#N/A,9.6,8.83,Shillong
3358,20,2,2017,#N/A,19,17.48,Delhi
3359,2,11,2019,#N/A,1.6,1.47,Bengaluru
3360,10,11,2018,#N/A,9.5,8.74,Ranchi
3361,6,9,2019,#N/A,5.7,5.24,Srinagar
3362,22,4,2017,#N/A,20.9,19.23,Shillong
3363,4,11,2019,#N/A,3.8,3.50,Jaipur
3364,5,6,2019,#N/A,4,3.68,Jaipur
3365,7,12,2017,#N/A,5.6,5.15,Shillong
3366,14,6,2018,#N/A,11.2,10.30,Mumbai
3367,2,11,2017,#N/A,1.6,1.47,Nagpur
3368,12,12,2019,#N/A,11.4,10.49,Ranchi
3369,12,9,2017,#N/A,9.6,8.83,Ranchi
3370,11,11,2018,#N/A,8.8,8.10,Mumbai
3371,7,1,2018,#N/A,5.6,5.15,Delhi
3372,4,8,2019,#N/A,3.2,2.94,Chennai
3373,6,1,2019,#N/A,4.8,4.42,Chandigarh
3374,5,9,2017,#N/A,4,3.68,Shillong
3375,14,6,2018,#N/A,11.2,10.30,Bhopal
3376,11,2,2017,#N/A,8.8,8.10,Shillong
3377,12,9,2018,#N/A,9.6,8.83,Chandigarh
3378,10,2,2017,#N/A,8,7.36,Nagpur
3379,6,7,2019,#N/A,4.8,4.42,Shillong
3380,24,10,2019,#N/A,19.2,17.66,Mumbai
3381,5,12,2019,#N/A,4,3.68,Bhopal
3382,8,4,2017,#N/A,6.4,5.89,Aurangabad
3383,6,9,2018,#N/A,4.8,4.42,Bengaluru
3384,2,4,2019,#N/A,1.6,1.47,Ranchi
3385,16,10,2019,#N/A,15.2,13.98,Nasik
3386,8,6,2018,#N/A,6.4,5.89,Jaipur
3387,18,6,2019,#N/A,14.4,13.25,Aurangabad
3388,14,12,2018,#N/A,11.2,10.30,Gandhinagar
3389,12,11,2019,#N/A,11.4,10.49,Mumbai
3390,9,9,2017,#N/A,7.2,6.62,Bhopal
3391,8,6,2018,#N/A,6.4,5.89,Chandigarh
3392,6,9,2019,#N/A,4.8,4.42,Chandigarh
3393,24,5,2019,#N/A,22.8,20.98,Jaipur
3394,6,5,2019,#N/A,4.8,4.42,Aurangabad
3395,2,6,2018,#N/A,1.6,1.47,Pune
3396,1,2,2018,#N/A,0.8,0.74,Nagpur
3397,12,7,2017,#N/A,9.6,8.83,Bhopal
3398,20,3,2019,#N/A,16,14.72,Pune
3399,16,12,2019,#N/A,15.2,13.98,Chennai
3400,1,9,2017,#N/A,0.8,0.74,Gandhinagar
3401,5,3,2019,#N/A,4,3.68,Pune
3402,8,11,2017,#N/A,6.4,5.89,Delhi
3403,20,6,2018,#N/A,19,17.48,Mumbai
3404,5,7,2018,#N/A,4,3.68,Nasik
3405,12,5,2017,#N/A,9.6,8.83,Gandhinagar
3406,12,8,2019,#N/A,9.6,8.83,Bhopal
3407,20,9,2017,#N/A,16,14.72,Delhi
3408,3,3,2017,#N/A,2.4,2.21,Nagpur
3409,1,3,2019,#N/A,0.8,0.74,Shillong
3410,11,11,2019,#N/A,8.8,8.10,Mumbai
3411,8,12,2017,#N/A,6.4,5.89,Nasik
3412,8,7,2019,#N/A,6.4,5.89,Nagpur
3413,10,5,2018,#N/A,9.5,8.74,Bhopal
3414,6,12,2018,#N/A,4.8,4.42,Gandhinagar
3415,8,9,2018,#N/A,7.6,6.99,Chennai
3416,8,6,2017,#N/A,6.4,5.89,Chennai
3417,18,11,2019,#N/A,14.4,13.25,Bengaluru
3418,22,1,2018,#N/A,17.6,16.19,Aurangabad
3419,9,6,2019,#N/A,7.2,6.62,Nagpur
3420,24,2,2018,#N/A,22.8,20.98,Bhopal
3421,12,9,2017,#N/A,9.6,8.83,Chennai
3422,9,7,2018,#N/A,7.2,6.62,Srinagar
