Customer Number,Applied Loan Amount in Lacs,Month,Fin Year,Month Year,Channel Id,Product Id,Gender,Occupation,Age,Salary,Branch Code
6998,4,7,2017,#N/A,4,4,Female,Business,33-43,7 LPA - 9 LPA,15
6999,3,2,2018,#N/A,2,1,Male,Business,56-63,7 LPA - 9 LPA,4
7000,4,2,2019,#N/A,3,4,Female,Salaried,26-32,9 LPA - 15 LPA,12
7001,12,7,2018,#N/A,1,1,Male,Salaried,44-55,15 LPA - 25 LPA,10
7002,12,9,2019,#N/A,4,3,Third Gender,Business,33-43,25+,8
7003,5,4,2017,#N/A,3,4,Female,Salaried,63+,5 LPA - 7 LPA,11
7004,22,2,2018,#N/A,3,3,Male,Business,26-32,9 LPA - 15 LPA,12
7005,3,7,2018,#N/A,1,4,Female,Salaried,63+,3 LPA - 5 LPA,3
7006,4,11,2019,#N/A,4,3,Female,Salaried,44-55,25+,7
7007,12,7,2019,#N/A,1,2,Female,Salaried,44-55,3 LPA - 5 LPA,7
7008,16,8,2019,#N/A,3,4,Female,Salaried,26-32,15 LPA - 25 LPA,12
7009,16,11,2019,#N/A,1,1,Female,Business,26-32,3 LPA - 5 LPA,14
7010,14,6,2017,#N/A,2,3,Male,Business,33-43,7 LPA - 9 LPA,3
7011,4,11,2017,#N/A,3,4,Female,Business,26-32,5 LPA - 7 LPA,8
7012,20,8,2018,#N/A,3,3,Female,Salaried,26-32,3 LPA - 5 LPA,1
7013,2,1,2018,#N/A,3,3,Female,Salaried,33-43,7 LPA - 9 LPA,8
7014,7,8,2018,#N/A,4,4,Third Gender,Business,56-63,5 LPA - 7 LPA,3
7015,6,11,2018,#N/A,1,1,Male,Business,26-32,7 LPA - 9 LPA,9
7016,16,8,2018,#N/A,3,2,Male,Salaried,26-32,3 LPA - 5 LPA,6
7017,20,2,2018,#N/A,1,4,Female,Salaried,26-32,15 LPA - 25 LPA,5
7018,14,6,2018,#N/A,2,3,Female,Salaried,26-32,7 LPA - 9 LPA,10
7019,5,9,2019,#N/A,1,3,Third Gender,Salaried,63+,15 LPA - 25 LPA,3
7020,10,9,2019,#N/A,4,1,Female,Business,56-63,7 LPA - 9 LPA,10
7021,10,11,2019,#N/A,2,3,Male,Salaried,33-43,5 LPA - 7 LPA,3
7022,4,11,2019,#N/A,4,1,Third Gender,Business,63+,15 LPA - 25 LPA,2
7023,2,12,2019,#N/A,3,1,Male,Salaried,33-43,9 LPA - 15 LPA,8
7024,12,1,2019,#N/A,1,3,Third Gender,Business,26-32,25+,12
7025,7,4,2018,#N/A,2,1,Female,Business,56-63,5 LPA - 7 LPA,14
7026,6,5,2017,#N/A,2,1,Male,Salaried,33-43,9 LPA - 15 LPA,12
7027,6,4,2017,#N/A,3,4,Female,Business,26-32,7 LPA - 9 LPA,8
7028,4,5,2019,#N/A,4,1,Female,Business,33-43,15 LPA - 25 LPA,4
7029,6,10,2018,#N/A,1,1,Female,Salaried,33-43,25+,7
7030,6,1,2018,#N/A,1,3,Female,Business,44-55,3 LPA - 5 LPA,15
7031,2,1,2019,#N/A,3,1,Male,Salaried,26-32,9 LPA - 15 LPA,3
7032,8,1,2019,#N/A,2,2,Third Gender,Business,33-43,7 LPA - 9 LPA,2
7033,9,7,2017,#N/A,3,1,Male,Business,63+,5 LPA - 7 LPA,13
7034,2,11,2017,#N/A,3,1,Male,Salaried,63+,3 LPA - 5 LPA,2
7035,8,11,2018,#N/A,4,2,Male,Business,33-43,25+,8
7036,11,2,2018,#N/A,1,2,Male,Salaried,63+,25+,8
7037,1,3,2018,#N/A,1,2,Third Gender,Business,44-55,15 LPA - 25 LPA,1
7038,10,4,2019,#N/A,2,3,Third Gender,Business,26-32,9 LPA - 15 LPA,11
7039,11,3,2019,#N/A,4,2,Male,Salaried,44-55,15 LPA - 25 LPA,8
7040,4,10,2019,#N/A,2,4,Third Gender,Salaried,56-63,3 LPA - 5 LPA,9
7041,6,3,2019,#N/A,4,4,Third Gender,Business,56-63,25+,2
7042,16,4,2017,#N/A,1,1,Female,Salaried,26-32,5 LPA - 7 LPA,11
7043,11,11,2017,#N/A,2,3,Third Gender,Business,63+,15 LPA - 25 LPA,8
7044,6,12,2019,#N/A,1,4,Female,Salaried,33-43,7 LPA - 9 LPA,2
7045,5,2,2017,#N/A,4,2,Female,Salaried,56-63,25+,13
7046,24,7,2017,#N/A,3,4,Female,Salaried,26-32,15 LPA - 25 LPA,5
7047,2,11,2018,#N/A,4,3,Third Gender,Salaried,56-63,9 LPA - 15 LPA,9
7048,10,11,2017,#N/A,2,1,Female,Business,26-32,5 LPA - 7 LPA,2
7049,14,12,2019,#N/A,3,4,Male,Salaried,26-32,7 LPA - 9 LPA,6
7050,12,12,2019,#N/A,4,3,Third Gender,Business,33-43,7 LPA - 9 LPA,9
7051,2,9,2019,#N/A,1,1,Female,Business,26-32,7 LPA - 9 LPA,14
7052,24,10,2017,#N/A,2,4,Female,Business,26-32,3 LPA - 5 LPA,9
7053,5,1,2017,#N/A,2,1,Female,Salaried,44-55,5 LPA - 7 LPA,5
7054,4,3,2019,#N/A,2,2,Third Gender,Salaried,63+,25+,2
7055,20,5,2018,#N/A,1,1,Female,Salaried,26-32,3 LPA - 5 LPA,13
7056,7,1,2019,#N/A,3,3,Female,Salaried,63+,9 LPA - 15 LPA,2
7057,24,1,2017,#N/A,3,4,Female,Business,26-32,3 LPA - 5 LPA,2
7058,6,5,2018,#N/A,1,2,Male,Business,63+,5 LPA - 7 LPA,7
7059,1,6,2017,#N/A,4,2,Female,Business,56-63,7 LPA - 9 LPA,11
7060,20,11,2017,#N/A,3,1,Female,Business,26-32,25+,13
7061,2,10,2019,#N/A,4,2,Female,Business,33-43,7 LPA - 9 LPA,15
7062,11,6,2019,#N/A,4,2,Male,Salaried,63+,15 LPA - 25 LPA,10
7063,24,10,2018,#N/A,2,2,Male,Business,26-32,5 LPA - 7 LPA,6
7064,12,6,2019,#N/A,4,1,Third Gender,Business,33-43,15 LPA - 25 LPA,11
7065,1,8,2017,#N/A,3,1,Third Gender,Business,63+,9 LPA - 15 LPA,11
7066,8,7,2019,#N/A,1,2,Third Gender,Business,33-43,5 LPA - 7 LPA,15
7067,20,3,2017,#N/A,2,1,Female,Salaried,26-32,15 LPA - 25 LPA,11
7068,18,8,2017,#N/A,3,3,Female,Business,26-32,15 LPA - 25 LPA,1
7069,6,12,2018,#N/A,2,3,Male,Salaried,26-32,3 LPA - 5 LPA,10
7070,7,8,2017,#N/A,4,4,Male,Salaried,44-55,25+,6
7071,20,2,2017,#N/A,3,3,Male,Business,33-43,7 LPA - 9 LPA,3
7072,7,6,2019,#N/A,2,4,Male,Business,63+,9 LPA - 15 LPA,15
7073,4,9,2019,#N/A,2,3,Male,Salaried,26-32,5 LPA - 7 LPA,4
7074,7,9,2017,#N/A,4,3,Third Gender,Salaried,63+,9 LPA - 15 LPA,1
7075,8,1,2019,#N/A,3,2,Female,Business,33-43,9 LPA - 15 LPA,14
7076,16,5,2018,#N/A,3,1,Female,Business,26-32,9 LPA - 15 LPA,12
7077,22,10,2018,#N/A,4,3,Male,Business,33-43,7 LPA - 9 LPA,9
7078,10,3,2019,#N/A,1,3,Third Gender,Salaried,56-63,3 LPA - 5 LPA,7
7079,7,1,2017,#N/A,3,3,Female,Business,56-63,7 LPA - 9 LPA,13
7080,10,3,2018,#N/A,2,3,Male,Business,63+,9 LPA - 15 LPA,9
7081,22,8,2018,#N/A,3,3,Third Gender,Salaried,26-32,3 LPA - 5 LPA,2
7082,2,7,2018,#N/A,2,2,Male,Salaried,44-55,9 LPA - 15 LPA,13
7083,8,11,2017,#N/A,3,4,Third Gender,Business,26-32,5 LPA - 7 LPA,14
7084,8,5,2017,#N/A,1,2,Third Gender,Business,63+,5 LPA - 7 LPA,1
7085,10,5,2019,#N/A,3,2,Male,Business,56-63,3 LPA - 5 LPA,8
7086,11,1,2018,#N/A,4,4,Female,Business,56-63,9 LPA - 15 LPA,3
7087,2,12,2019,#N/A,1,3,Female,Salaried,26-32,5 LPA - 7 LPA,7
7088,10,6,2019,#N/A,1,4,Male,Business,26-32,7 LPA - 9 LPA,9
7089,10,2,2019,#N/A,2,2,Third Gender,Salaried,33-43,5 LPA - 7 LPA,5
7090,2,7,2017,#N/A,3,2,Male,Business,63+,25+,10
7091,16,12,2017,#N/A,3,3,Male,Business,26-32,3 LPA - 5 LPA,12
7092,8,10,2019,#N/A,2,4,Female,Salaried,26-32,7 LPA - 9 LPA,4
7093,4,11,2018,#N/A,2,3,Third Gender,Business,26-32,7 LPA - 9 LPA,3
7094,11,2,2019,#N/A,1,1,Female,Business,63+,25+,13
7095,16,3,2017,#N/A,3,2,Female,Salaried,33-43,3 LPA - 5 LPA,10
7096,14,4,2017,#N/A,3,1,Third Gender,Salaried,26-32,15 LPA - 25 LPA,5
7097,4,10,2019,#N/A,3,3,Male,Business,33-43,15 LPA - 25 LPA,10
7098,2,1,2019,#N/A,2,4,Third Gender,Business,44-55,5 LPA - 7 LPA,3
7099,6,3,2019,#N/A,2,3,Third Gender,Business,26-32,9 LPA - 15 LPA,8
7100,20,8,2018,#N/A,2,2,Third Gender,Salaried,26-32,15 LPA - 25 LPA,1
7101,10,5,2019,#N/A,2,3,Female,Business,63+,5 LPA - 7 LPA,12
7102,12,6,2018,#N/A,2,3,Male,Business,26-32,15 LPA - 25 LPA,5
7103,12,11,2018,#N/A,4,4,Female,Business,63+,7 LPA - 9 LPA,8
7104,6,8,2017,#N/A,2,4,Third Gender,Business,26-32,15 LPA - 25 LPA,15
7105,7,11,2017,#N/A,3,2,Female,Business,56-63,9 LPA - 15 LPA,5
7106,1,8,2019,#N/A,2,1,Male,Salaried,44-55,9 LPA - 15 LPA,14
7107,2,7,2017,#N/A,1,4,Male,Business,56-63,25+,1
7108,12,4,2017,#N/A,1,1,Third Gender,Salaried,26-32,9 LPA - 15 LPA,6
7109,10,8,2019,#N/A,3,4,Male,Salaried,56-63,9 LPA - 15 LPA,2
7110,3,3,2018,#N/A,4,2,Female,Business,56-63,7 LPA - 9 LPA,9
7111,9,8,2019,#N/A,4,4,Male,Business,63+,5 LPA - 7 LPA,1
7112,8,10,2019,#N/A,1,3,Female,Salaried,63+,9 LPA - 15 LPA,1
7113,6,7,2018,#N/A,3,3,Third Gender,Salaried,44-55,15 LPA - 25 LPA,1
7114,3,10,2019,#N/A,2,1,Male,Business,63+,7 LPA - 9 LPA,2
7115,6,10,2017,#N/A,3,3,Male,Salaried,26-32,15 LPA - 25 LPA,11
7116,1,3,2017,#N/A,2,2,Third Gender,Salaried,63+,7 LPA - 9 LPA,3
7117,2,9,2017,#N/A,1,2,Female,Salaried,33-43,25+,6
7118,24,4,2019,#N/A,2,4,Male,Salaried,33-43,15 LPA - 25 LPA,1
7119,1,12,2018,#N/A,4,4,Male,Business,56-63,9 LPA - 15 LPA,13
7120,4,11,2017,#N/A,3,1,Male,Salaried,63+,9 LPA - 15 LPA,13
7121,24,10,2017,#N/A,2,4,Male,Salaried,26-32,3 LPA - 5 LPA,4
7122,12,7,2017,#N/A,1,1,Third Gender,Business,56-63,15 LPA - 25 LPA,4
7123,8,12,2019,#N/A,3,1,Male,Salaried,44-55,25+,12
7124,1,1,2017,#N/A,4,4,Third Gender,Business,63+,9 LPA - 15 LPA,7
7125,18,11,2017,#N/A,3,1,Female,Salaried,26-32,9 LPA - 15 LPA,4
7126,10,3,2018,#N/A,3,1,Male,Business,44-55,15 LPA - 25 LPA,1
7127,9,12,2017,#N/A,4,1,Male,Business,56-63,25+,4
7128,20,3,2018,#N/A,3,1,Female,Business,26-32,15 LPA - 25 LPA,15
7129,4,5,2019,#N/A,1,4,Third Gender,Salaried,56-63,7 LPA - 9 LPA,3
7130,24,11,2019,#N/A,3,2,Female,Business,26-32,3 LPA - 5 LPA,12
7131,9,10,2019,#N/A,3,1,Male,Salaried,44-55,9 LPA - 15 LPA,10
7132,10,9,2019,#N/A,2,3,Female,Salaried,26-32,5 LPA - 7 LPA,4
7133,4,9,2019,#N/A,3,1,Female,Salaried,56-63,25+,4
7134,20,9,2019,#N/A,3,2,Third Gender,Business,26-32,7 LPA - 9 LPA,12
7135,2,8,2017,#N/A,3,3,Female,Salaried,26-32,25+,3
7136,9,3,2019,#N/A,1,4,Female,Salaried,44-55,9 LPA - 15 LPA,1
7137,2,12,2017,#N/A,2,2,Male,Business,26-32,25+,6
7138,8,6,2019,#N/A,2,4,Third Gender,Business,26-32,3 LPA - 5 LPA,8
7139,22,9,2018,#N/A,3,2,Third Gender,Salaried,33-43,7 LPA - 9 LPA,10
7140,6,8,2017,#N/A,1,4,Third Gender,Salaried,33-43,25+,2
7141,12,12,2019,#N/A,3,1,Male,Salaried,26-32,7 LPA - 9 LPA,12
7142,4,6,2017,#N/A,2,3,Male,Business,56-63,5 LPA - 7 LPA,2
7143,8,3,2017,#N/A,2,2,Female,Salaried,26-32,7 LPA - 9 LPA,9
7144,6,8,2018,#N/A,1,2,Male,Business,26-32,15 LPA - 25 LPA,7
7145,1,6,2019,#N/A,3,4,Male,Salaried,63+,25+,15
7146,20,3,2019,#N/A,3,1,Female,Business,26-32,25+,4
7147,2,7,2017,#N/A,1,3,Male,Business,44-55,25+,5
7148,6,6,2018,#N/A,3,3,Female,Business,56-63,3 LPA - 5 LPA,9
7149,6,2,2018,#N/A,3,4,Female,Salaried,26-32,3 LPA - 5 LPA,6
7150,10,4,2019,#N/A,2,3,Third Gender,Business,26-32,5 LPA - 7 LPA,2
7151,16,1,2017,#N/A,4,1,Third Gender,Salaried,33-43,7 LPA - 9 LPA,2
7152,4,5,2017,#N/A,1,3,Male,Salaried,26-32,15 LPA - 25 LPA,5
7153,12,6,2019,#N/A,3,3,Male,Salaried,44-55,15 LPA - 25 LPA,10
7154,6,8,2017,#N/A,4,4,Third Gender,Business,56-63,7 LPA - 9 LPA,12
7155,6,7,2017,#N/A,2,1,Male,Business,44-55,3 LPA - 5 LPA,11
7156,4,2,2017,#N/A,3,4,Female,Business,26-32,15 LPA - 25 LPA,10
7157,6,6,2019,#N/A,3,2,Female,Business,26-32,15 LPA - 25 LPA,11
7158,16,9,2017,#N/A,1,3,Third Gender,Business,26-32,9 LPA - 15 LPA,9
7159,5,4,2019,#N/A,4,2,Female,Business,63+,9 LPA - 15 LPA,11
7160,18,5,2017,#N/A,1,2,Male,Business,26-32,15 LPA - 25 LPA,13
7161,6,4,2019,#N/A,1,2,Third Gender,Salaried,26-32,15 LPA - 25 LPA,15
7162,4,11,2018,#N/A,4,4,Male,Business,63+,3 LPA - 5 LPA,8
7163,20,5,2019,#N/A,3,3,Female,Salaried,26-32,7 LPA - 9 LPA,1
7164,8,2,2018,#N/A,1,3,Male,Salaried,44-55,15 LPA - 25 LPA,3
7165,4,11,2019,#N/A,3,1,Third Gender,Business,26-32,9 LPA - 15 LPA,1
7166,7,12,2017,#N/A,2,1,Third Gender,Business,56-63,15 LPA - 25 LPA,4
7167,2,4,2019,#N/A,1,3,Female,Business,26-32,5 LPA - 7 LPA,12
7168,11,4,2017,#N/A,4,3,Male,Business,44-55,7 LPA - 9 LPA,13
7169,6,5,2017,#N/A,2,3,Female,Business,33-43,3 LPA - 5 LPA,7
7170,9,5,2017,#N/A,3,3,Male,Business,44-55,25+,4
7171,2,1,2017,#N/A,3,3,Female,Business,33-43,5 LPA - 7 LPA,3
7172,14,3,2018,#N/A,3,3,Third Gender,Salaried,26-32,15 LPA - 25 LPA,13
7173,24,10,2019,#N/A,1,2,Female,Business,26-32,5 LPA - 7 LPA,15
7174,18,7,2019,#N/A,2,4,Male,Salaried,26-32,5 LPA - 7 LPA,8
7175,9,6,2017,#N/A,3,1,Third Gender,Business,63+,9 LPA - 15 LPA,5
7176,18,7,2019,#N/A,3,3,Male,Salaried,26-32,7 LPA - 9 LPA,13
7177,2,10,2017,#N/A,1,4,Female,Salaried,44-55,7 LPA - 9 LPA,15
7178,11,8,2019,#N/A,2,3,Male,Salaried,44-55,25+,2
7179,4,5,2017,#N/A,4,2,Male,Business,63+,3 LPA - 5 LPA,11
7180,12,8,2019,#N/A,3,2,Female,Salaried,26-32,3 LPA - 5 LPA,10
7181,24,8,2018,#N/A,2,2,Male,Business,26-32,9 LPA - 15 LPA,7
7182,8,11,2017,#N/A,1,1,Female,Salaried,26-32,9 LPA - 15 LPA,10
7183,16,6,2017,#N/A,3,1,Male,Salaried,26-32,7 LPA - 9 LPA,8
7184,12,2,2018,#N/A,4,1,Male,Salaried,44-55,5 LPA - 7 LPA,7
7185,2,10,2017,#N/A,3,3,Male,Salaried,44-55,7 LPA - 9 LPA,6
7186,22,9,2017,#N/A,3,1,Male,Salaried,33-43,5 LPA - 7 LPA,5
7187,16,12,2018,#N/A,3,1,Female,Business,26-32,7 LPA - 9 LPA,3
7188,12,3,2019,#N/A,1,1,Female,Salaried,63+,9 LPA - 15 LPA,13
7189,4,6,2019,#N/A,1,3,Female,Salaried,56-63,9 LPA - 15 LPA,6
7190,2,4,2018,#N/A,4,3,Male,Business,33-43,9 LPA - 15 LPA,14
7191,1,10,2019,#N/A,3,3,Female,Business,44-55,7 LPA - 9 LPA,3
7192,3,3,2017,#N/A,3,4,Female,Salaried,56-63,3 LPA - 5 LPA,6
7193,4,6,2018,#N/A,1,4,Female,Business,26-32,25+,15
7194,16,8,2018,#N/A,3,3,Male,Salaried,33-43,9 LPA - 15 LPA,15
7195,18,7,2019,#N/A,1,3,Female,Business,26-32,3 LPA - 5 LPA,10
7196,10,4,2018,#N/A,4,3,Female,Business,63+,7 LPA - 9 LPA,14
7197,8,4,2017,#N/A,2,1,Third Gender,Salaried,26-32,15 LPA - 25 LPA,14
7198,22,4,2017,#N/A,2,1,Third Gender,Salaried,26-32,3 LPA - 5 LPA,1
7199,5,11,2018,#N/A,2,1,Third Gender,Business,63+,9 LPA - 15 LPA,14
7200,22,9,2018,#N/A,2,2,Female,Business,26-32,25+,6
7201,11,8,2018,#N/A,3,3,Female,Business,63+,3 LPA - 5 LPA,4
7202,7,10,2018,#N/A,1,4,Male,Business,44-55,15 LPA - 25 LPA,14
7203,9,4,2018,#N/A,2,3,Third Gender,Business,63+,15 LPA - 25 LPA,1
7204,8,8,2017,#N/A,2,2,Male,Salaried,56-63,25+,6
7205,8,8,2019,#N/A,1,4,Male,Salaried,56-63,7 LPA - 9 LPA,7
7206,5,2,2018,#N/A,3,4,Female,Business,56-63,25+,7
7207,2,8,2018,#N/A,3,1,Female,Salaried,63+,15 LPA - 25 LPA,14
7208,12,7,2018,#N/A,4,2,Female,Salaried,44-55,9 LPA - 15 LPA,5
7209,9,3,2019,#N/A,2,1,Female,Salaried,63+,15 LPA - 25 LPA,10
7210,4,5,2018,#N/A,1,2,Third Gender,Business,56-63,5 LPA - 7 LPA,11
7211,4,5,2017,#N/A,3,4,Male,Salaried,26-32,3 LPA - 5 LPA,2
7212,10,12,2018,#N/A,3,2,Male,Salaried,26-32,15 LPA - 25 LPA,15
7213,4,11,2019,#N/A,2,3,Female,Salaried,33-43,25+,9
7214,6,8,2018,#N/A,2,4,Third Gender,Business,26-32,3 LPA - 5 LPA,15
7215,8,7,2017,#N/A,1,4,Female,Business,63+,3 LPA - 5 LPA,13
7216,2,5,2019,#N/A,3,1,Third Gender,Salaried,26-32,9 LPA - 15 LPA,8
7217,9,2,2018,#N/A,1,1,Third Gender,Salaried,56-63,25+,11
7218,24,6,2017,#N/A,3,3,Male,Salaried,33-43,5 LPA - 7 LPA,5
7219,14,11,2018,#N/A,3,1,Male,Business,26-32,3 LPA - 5 LPA,4
7220,4,3,2017,#N/A,3,3,Male,Business,26-32,5 LPA - 7 LPA,5
7221,3,5,2018,#N/A,1,4,Male,Business,63+,25+,2
7222,5,2,2019,#N/A,4,1,Female,Business,56-63,7 LPA - 9 LPA,2
7223,22,5,2018,#N/A,1,3,Male,Business,26-32,15 LPA - 25 LPA,13
7224,20,7,2017,#N/A,3,2,Female,Salaried,33-43,3 LPA - 5 LPA,2
7225,8,3,2019,#N/A,1,4,Male,Salaried,44-55,5 LPA - 7 LPA,9
7226,4,12,2019,#N/A,2,3,Third Gender,Business,26-32,5 LPA - 7 LPA,5
7227,4,3,2018,#N/A,2,1,Third Gender,Salaried,33-43,25+,5
7228,6,1,2018,#N/A,1,4,Female,Business,63+,5 LPA - 7 LPA,12
7229,4,6,2018,#N/A,4,3,Male,Salaried,56-63,15 LPA - 25 LPA,5
7230,8,1,2019,#N/A,3,2,Third Gender,Salaried,56-63,7 LPA - 9 LPA,10
7231,2,11,2019,#N/A,3,3,Male,Business,26-32,3 LPA - 5 LPA,11
7232,5,11,2017,#N/A,2,1,Male,Business,63+,25+,4
7233,5,2,2017,#N/A,1,1,Third Gender,Business,63+,25+,8
7234,10,5,2017,#N/A,4,2,Female,Salaried,63+,25+,7
7235,8,5,2019,#N/A,3,3,Male,Salaried,56-63,5 LPA - 7 LPA,14
7236,8,10,2019,#N/A,2,3,Third Gender,Business,56-63,3 LPA - 5 LPA,10
7237,8,4,2019,#N/A,2,2,Male,Salaried,44-55,15 LPA - 25 LPA,9
7238,2,10,2018,#N/A,2,1,Female,Business,26-32,3 LPA - 5 LPA,6
7239,14,4,2018,#N/A,2,1,Male,Salaried,33-43,9 LPA - 15 LPA,13
7240,6,10,2018,#N/A,1,3,Third Gender,Salaried,56-63,15 LPA - 25 LPA,6
7241,2,7,2018,#N/A,2,4,Male,Salaried,26-32,15 LPA - 25 LPA,4
7242,4,11,2017,#N/A,3,4,Third Gender,Salaried,63+,25+,1
7243,2,1,2017,#N/A,2,1,Female,Salaried,26-32,9 LPA - 15 LPA,14
7244,9,2,2019,#N/A,2,1,Male,Salaried,63+,5 LPA - 7 LPA,15
7245,14,3,2019,#N/A,3,3,Third Gender,Business,26-32,25+,15
7246,12,9,2018,#N/A,2,4,Third Gender,Business,26-32,9 LPA - 15 LPA,10
7247,12,5,2017,#N/A,3,1,Third Gender,Business,56-63,25+,4
7248,16,6,2017,#N/A,3,1,Male,Business,33-43,9 LPA - 15 LPA,12
7249,14,3,2019,#N/A,3,1,Male,Salaried,26-32,7 LPA - 9 LPA,13
7250,10,10,2017,#N/A,1,2,Female,Salaried,26-32,7 LPA - 9 LPA,8
7251,14,7,2019,#N/A,3,1,Female,Business,26-32,15 LPA - 25 LPA,4
7252,12,12,2019,#N/A,1,3,Female,Salaried,26-32,7 LPA - 9 LPA,6
7253,3,1,2019,#N/A,2,2,Female,Salaried,63+,25+,15
7254,6,11,2018,#N/A,3,3,Female,Business,63+,5 LPA - 7 LPA,8
7255,16,4,2018,#N/A,2,3,Female,Salaried,33-43,9 LPA - 15 LPA,4
7256,1,4,2017,#N/A,4,4,Female,Business,56-63,5 LPA - 7 LPA,15
7257,4,5,2019,#N/A,3,4,Female,Salaried,26-32,3 LPA - 5 LPA,14
7258,14,7,2017,#N/A,3,2,Male,Salaried,26-32,5 LPA - 7 LPA,12
7259,6,8,2018,#N/A,1,4,Male,Business,26-32,3 LPA - 5 LPA,14
7260,18,9,2017,#N/A,3,2,Female,Business,33-43,25+,12
7261,9,10,2017,#N/A,1,3,Male,Business,63+,5 LPA - 7 LPA,6
7262,12,1,2017,#N/A,1,3,Third Gender,Business,26-32,9 LPA - 15 LPA,10
7263,2,6,2018,#N/A,4,3,Third Gender,Salaried,33-43,3 LPA - 5 LPA,12
7264,2,3,2019,#N/A,1,3,Female,Salaried,63+,5 LPA - 7 LPA,12
7265,4,6,2018,#N/A,1,2,Third Gender,Salaried,26-32,7 LPA - 9 LPA,6
7266,5,12,2017,#N/A,4,1,Male,Business,44-55,25+,8
7267,14,3,2019,#N/A,2,1,Third Gender,Business,33-43,7 LPA - 9 LPA,7
7268,1,9,2018,#N/A,1,3,Third Gender,Salaried,63+,15 LPA - 25 LPA,9
7269,2,12,2018,#N/A,4,3,Male,Business,44-55,3 LPA - 5 LPA,8
7270,6,12,2017,#N/A,2,2,Third Gender,Business,33-43,3 LPA - 5 LPA,7
7271,4,8,2019,#N/A,4,2,Male,Salaried,63+,7 LPA - 9 LPA,5
7272,9,12,2017,#N/A,4,4,Female,Business,63+,15 LPA - 25 LPA,4
7273,8,11,2018,#N/A,1,1,Third Gender,Salaried,33-43,3 LPA - 5 LPA,9
7274,4,3,2017,#N/A,3,1,Male,Salaried,63+,3 LPA - 5 LPA,13
7275,10,10,2019,#N/A,1,1,Third Gender,Business,26-32,15 LPA - 25 LPA,6
7276,10,11,2019,#N/A,1,4,Third Gender,Business,26-32,25+,6
7277,24,7,2017,#N/A,3,2,Male,Business,26-32,25+,13
7278,7,1,2018,#N/A,2,2,Male,Salaried,44-55,3 LPA - 5 LPA,2
7279,9,4,2018,#N/A,4,2,Female,Business,56-63,5 LPA - 7 LPA,5
7280,1,6,2017,#N/A,2,2,Male,Salaried,63+,9 LPA - 15 LPA,12
7281,22,4,2019,#N/A,2,3,Male,Salaried,26-32,7 LPA - 9 LPA,5
7282,16,8,2019,#N/A,3,4,Female,Business,26-32,7 LPA - 9 LPA,7
7283,10,10,2019,#N/A,3,1,Third Gender,Salaried,44-55,7 LPA - 9 LPA,6
7284,11,4,2019,#N/A,4,2,Third Gender,Salaried,56-63,7 LPA - 9 LPA,8
7285,22,12,2019,#N/A,2,1,Third Gender,Salaried,33-43,25+,1
7286,2,1,2018,#N/A,2,2,Third Gender,Business,44-55,15 LPA - 25 LPA,15
7287,2,5,2017,#N/A,3,4,Third Gender,Business,26-32,7 LPA - 9 LPA,3
7288,10,7,2019,#N/A,3,3,Third Gender,Salaried,44-55,9 LPA - 15 LPA,10
7289,2,3,2018,#N/A,2,2,Male,Business,26-32,7 LPA - 9 LPA,14
7290,2,4,2017,#N/A,4,1,Third Gender,Salaried,44-55,25+,10
7291,22,9,2017,#N/A,4,1,Third Gender,Business,33-43,3 LPA - 5 LPA,2
7292,5,2,2018,#N/A,1,3,Female,Business,44-55,7 LPA - 9 LPA,13
7293,20,6,2018,#N/A,4,3,Third Gender,Salaried,33-43,15 LPA - 25 LPA,14
7294,10,9,2018,#N/A,3,2,Female,Salaried,26-32,5 LPA - 7 LPA,8
7295,4,6,2019,#N/A,3,4,Male,Business,63+,3 LPA - 5 LPA,12
7296,2,6,2017,#N/A,3,4,Male,Business,26-32,9 LPA - 15 LPA,12
7297,12,7,2019,#N/A,3,1,Male,Business,26-32,15 LPA - 25 LPA,12
7298,20,9,2017,#N/A,3,2,Male,Salaried,33-43,3 LPA - 5 LPA,12
7299,10,9,2017,#N/A,3,2,Male,Salaried,44-55,7 LPA - 9 LPA,4
7300,22,7,2019,#N/A,3,2,Third Gender,Business,26-32,3 LPA - 5 LPA,1
7301,11,4,2019,#N/A,4,3,Female,Salaried,44-55,5 LPA - 7 LPA,5
7302,9,11,2018,#N/A,2,4,Male,Business,63+,7 LPA - 9 LPA,11
7303,7,10,2018,#N/A,1,3,Third Gender,Business,56-63,9 LPA - 15 LPA,1
7304,2,9,2018,#N/A,1,2,Male,Business,26-32,3 LPA - 5 LPA,12
7305,6,11,2017,#N/A,2,4,Male,Salaried,26-32,9 LPA - 15 LPA,7
7306,4,9,2017,#N/A,4,4,Female,Business,63+,7 LPA - 9 LPA,8
7307,11,4,2018,#N/A,2,1,Third Gender,Salaried,56-63,9 LPA - 15 LPA,15
7308,20,9,2018,#N/A,1,4,Male,Business,26-32,7 LPA - 9 LPA,10
7309,3,12,2017,#N/A,4,3,Female,Salaried,56-63,5 LPA - 7 LPA,15
7310,10,1,2019,#N/A,4,3,Female,Salaried,56-63,25+,9
7311,16,4,2017,#N/A,3,1,Male,Business,26-32,9 LPA - 15 LPA,13
7312,18,3,2018,#N/A,3,3,Female,Business,26-32,25+,15
7313,7,4,2019,#N/A,2,1,Third Gender,Salaried,44-55,25+,13
